Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Black,Blue,Double Black,Green,Terrain Park,Price,Total Runs
South Face,7096.0,8045.0,948.0,4752.0,Black,Alpine Meadows,0.1994949494949495,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
South Face Access,7110.0,8025.0,915.0,3643.2,Black,Alpine Meadows,0.25115283267457184,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Sun Bowl,8146.0,8445.0,299.0,633.6,Black,Alpine Meadows,0.4719065656565656,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Sympathy Face,7628.0,7864.0,236.0,792.0,Black,Alpine Meadows,0.297979797979798,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
The Buttress,7372.0,7690.0,318.0,454.0,Black,Alpine Meadows,0.7004405286343612,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
The Face,7169.0,7835.0,663.0,1584.0,Black,Alpine Meadows,0.4185606060606061,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Three Sisters,7365.0,7966.0,604.0,950.4,Black,Alpine Meadows,0.6355218855218855,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Top Alpine Bowl,8543.0,8622.0,79.0,424.0,Black,Alpine Meadows,0.18632075471698112,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Upper Saddle,8317.0,8481.0,161.0,897.6,Black,Alpine Meadows,0.17936720142602494,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Waterfall,7388.0,7841.0,453.0,950.4,Black,Alpine Meadows,0.4766414141414141,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Wolverine Bowl,7927.0,8156.0,233.0,580.8,Black,Alpine Meadows,0.4011707988980717,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Wolverine Saddle,8199.0,8314.0,112.0,1108.8,Black,Alpine Meadows,0.101010101010101,Ungroomed,6859,13,8482,1623,0.52,0.43,0.0,0.02,0.03,169,102
Chisholm,10981.0,11148.0,167.0,1689.6,Green,Arapahoe Basin,0.09883996212121213,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Chisholm Trail,11299.0,11453.0,154.0,1584.0,Green,Arapahoe Basin,0.09722222222222222,Groomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Learning Area,10807.0,10833.0,30.0,166.0,Green,Arapahoe Basin,0.18072289156626506,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
Molly Hogan,10810.0,10866.0,52.0,433.0,Green,Arapahoe Basin,0.12009237875288685,Ungroomed,10789,9,12504,1715,0.3,0.21,0.44,0.04,0.01,109,178
