Trail Name,Bottom Elev (ft),Top Elev (ft),Vertical Drop (ft),Slope Length (ft),Difficulty,Resort,Average Steepness,Groomed,Base,Lifts,Top,Vertical Rise (ft),Percent Blacks,Percent Blues,Percent Double Blacks,Percent Greens,Percent Terrain Parks,Price,Total Runs,Location
Lightning Traverse,11358,11824,466,1531,Black,Arapahoe Basin,0.3,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Log Roll,11568,11788,217,400,Black,Arapahoe Basin,0.54,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Long Chute,11785,12461,673,1900,Black,Arapahoe Basin,0.35,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Marjorie Bowl,11804,12018,210,509,Black,Arapahoe Basin,0.41,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Marmot,11699,12280,581,1531,Black,Arapahoe Basin,0.38,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Montezuma's Revenge,11375,12014,643,2112,Black,Arapahoe Basin,0.3,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Mountain Goat Traverse,11762,12461,699,2956,Black,Arapahoe Basin,0.24,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
No Name,11512,11680,164,377,Black,Arapahoe Basin,0.44,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
North Chute,11696,11926,230,384,Black,Arapahoe Basin,0.6,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Northern Spy,11978,12234,256,739,Black,Arapahoe Basin,0.35,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Nose,11752,12070,318,792,Black,Arapahoe Basin,0.4,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Peaceful Valley,11814,11991,174,525,Black,Arapahoe Basin,0.33,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Pioneer Willy,11302,11470,167,446,Black,Arapahoe Basin,0.37,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Placer Junction,11535,11650,115,249,Black,Arapahoe Basin,0.46,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Porcupine,11224,11427,200,324,Black,Arapahoe Basin,0.62,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Powder Keg,11680,11778,98,290,Black,Arapahoe Basin,0.34,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Ptarmigan,11818,12310,492,1108,Black,Arapahoe Basin,0.44,Groomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Radical,11486,11831,344,897,Black,Arapahoe Basin,0.38,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Scudder,11529,11722,194,445,Black,Arapahoe Basin,0.44,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Slalom Slope,11677,12096,420,950,Black,Arapahoe Basin,0.44,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
South Chute,11722,12080,358,686,Black,Arapahoe Basin,0.52,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Standard,10997,11873,873,2006,Black,Arapahoe Basin,0.44,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
The Gulch,11027,11407,384,1108,Black,Arapahoe Basin,0.35,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
The Last Waltz,11014,11781,768,4224,Black,Arapahoe Basin,0.18,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Thick & Thin,11539,11759,220,357,Black,Arapahoe Basin,0.62,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Tieze's Claim,11749,11860,112,244,Black,Arapahoe Basin,0.46,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Torreys,11463,11627,164,499,Black,Arapahoe Basin,0.33,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Wildcat,11824,12021,194,434,Black,Arapahoe Basin,0.45,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
Winning Card,11657,11827,171,342,Black,Arapahoe Basin,0.5,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
13 Cornices,11345,11621,276,633,Double Black,Arapahoe Basin,0.44,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
1st Notch,12359,12615,256,333,Double Black,Arapahoe Basin,0.77,Ungroomed,10789,9,12504,1715,30,21,44,4,1,109,178,CO
